frame_number,class_id,object_id,x1,y1,x2,y2
208,1,15,-14,548,362,756
208,1,13,125,550,354,755
209,10,45,-25,592,135,781
209,1,41,1406,565,1792,776
209,1,38,1071,431,1528,729
209,1,37,1627,508,1934,800
209,1,15,-23,553,344,768
210,10,41,1401,568,1804,781
210,1,38,1053,429,1523,732
210,1,37,1636,513,1934,811
210,1,15,-29,554,322,773
211,10,41,1401,568,1819,784
211,1,38,1029,425,1496,732
211,1,37,1643,519,1924,818
211,1,15,-32,553,301,775
212,10,41,1406,568,1849,785
212,1,38,1011,420,1482,733
212,1,37,1657,533,1928,836
212,1,15,-34,552,280,779
213,10,41,1401,569,1857,786
213,1,38,997,418,1472,735
213,1,37,1667,542,1928,841
213,1,15,-33,554,262,785
214,10,41,1395,572,1852,792
214,1,38,982,420,1463,742
214,1,37,1679,515,1932,834
214,1,15,-35,559,240,791
215,10,41,1399,575,1868,799
215,1,38,962,423,1445,748
215,1,37,1692,514,1935,851
215,1,15,-35,564,217,796
216,10,41,1405,580,1890,808
216,1,38,948,424,1435,752
216,1,37,1704,521,1936,870
216,1,15,-34,569,196,802
217,1,41,1406,577,1903,811
217,10,38,938,425,1437,758
217,1,37,1715,542,1935,890
217,1,15,-33,587,178,813
218,10,41,1408,578,1909,817
218,1,38,921,428,1431,767
218,1,37,1730,545,1936,900
218,1,15,-33,607,158,822
219,10,41,1410,580,1916,824
219,1,38,907,428,1430,772
219,1,37,1746,551,1938,913
219,1,15,-32,617,138,829
220,10,41,1410,583,1919,831
220,1,38,897,429,1429,778
220,1,37,1759,553,1937,922
220,1,15,-30,610,121,826
221,1,41,1417,583,1927,838
221,10,38,891,430,1444,784
221,1,37,1777,554,1939,933
221,1,15,-29,618,102,834
222,1,41,1419,589,1930,850
222,10,38,894,433,1491,790
222,1,37,1795,562,1940,948
222,1,15,-28,635,86,842
223,1,41,1421,600,1931,860
223,10,37,1810,576,1939,959
223,1,15,-25,644,73,845
224,1,41,1430,603,1934,869
224,10,37,1828,612,1939,980
225,1,52,861,428,1762,825
225,10,41,1429,579,1936,866
225,1,37,1847,625,1940,976
226,1,52,825,435,1724,829
226,10,41,1435,590,1935,882
227,1,52,806,438,1712,832
227,10,41,1439,582,1936,888
228,1,52,814,433,1776,836
228,10,41,1449,600,1937,907
229,1,52,814,440,1838,846
229,10,41,1460,614,1938,920
230,1,52,781,441,1826,847
230,10,41,1469,621,1938,927
231,1,52,774,446,1850,853
231,10,41,1476,617,1937,929
232,1,52,757,444,1854,851
232,10,41,1482,607,1937,928
233,1,52,733,427,1837,845
233,10,41,1497,598,1940,927
234,1,52,711,418,1819,844
234,10,41,1504,630,1938,944
235,1,52,702,415,1821,843
235,10,41,1508,645,1936,949
236,1,52,694,418,1823,847
236,10,41,1512,612,1935,934
237,1,52,682,410,1824,845
237,10,41,1516,592,1934,930
238,1,52,669,397,1800,839
238,10,41,1522,583,1934,935
239,1,52,646,414,1778,851
239,10,41,1538,577,1938,939
240,1,52,633,412,1758,850
240,10,41,1547,573,1937,945
241,1,52,622,408,1735,848
241,10,41,1549,570,1934,951
242,1,52,606,414,1712,853
242,10,41,1552,569,1932,954
243,1,52,590,419,1687,858
243,10,41,1555,565,1931,958
244,1,52,573,420,1669,858
244,10,41,1560,563,1931,961
245,1,52,552,406,1653,853
245,10,41,1565,561,1930,964
246,1,52,544,400,1647,853
246,10,41,1569,560,1930,967
247,1,52,554,381,1654,842
247,10,41,1573,560,1929,971
248,1,52,544,383,1646,847
248,10,41,1577,560,1929,974
249,1,52,533,385,1640,850
249,10,41,1581,561,1929,976
250,1,52,505,400,1610,861
250,10,41,1584,561,1928,979
251,1,52,503,396,1616,859
251,10,41,1588,561,1928,982
252,1,52,497,391,1632,856
252,10,41,1591,561,1928,983
253,1,52,491,388,1641,860
253,10,41,1593,561,1927,984
254,1,52,438,395,1584,864
254,10,41,1594,565,1926,986
255,1,52,470,391,1594,859
255,10,41,1593,573,1925,989
256,1,52,413,398,1520,862
256,10,41,1594,568,1924,986
257,1,52,382,404,1484,865
257,10,41,1594,567,1924,985
258,1,52,365,390,1463,858
258,10,41,1594,567,1923,986
259,1,52,425,376,1537,853
259,10,41,1594,564,1923,985
260,1,52,430,378,1548,859
260,10,41,1594,563,1923,986
261,1,52,444,370,1552,857
261,10,41,1594,562,1923,986
262,1,52,434,362,1539,856
262,10,41,1594,559,1923,986
263,1,52,436,356,1535,858
263,10,41,1595,560,1923,987
264,1,52,439,351,1546,857
264,10,41,1595,560,1923,988
265,1,52,402,350,1504,857
265,10,41,1595,562,1922,990
266,1,52,397,345,1485,856
266,10,41,1596,563,1922,990
267,1,52,372,348,1468,858
267,10,41,1597,565,1923,991
268,1,52,325,346,1444,860
268,10,41,1598,566,1923,992
269,1,52,305,341,1447,860
269,10,41,1600,566,1923,993
270,1,52,277,339,1439,861
270,10,41,1601,566,1923,993
271,1,52,252,351,1416,865
271,10,41,1603,571,1924,995
272,1,52,250,353,1408,866
272,10,41,1606,569,1924,996
273,1,52,163,371,1308,872
273,10,41,1607,584,1924,1005
274,1,52,180,373,1351,870
274,10,41,1609,601,1924,1012
275,1,52,128,363,1284,865
275,10,41,1611,624,1924,1022
276,1,52,82,378,1213,873
276,10,41,1615,632,1924,1024
277,1,52,76,369,1224,865
277,10,41,1617,621,1924,1018
278,1,52,-4,370,1047,869
278,10,41,1621,626,1925,1021
279,1,41,1628,642,1927,1028
280,1,41,1634,651,1927,1030
281,1,41,1640,664,1928,1031
282,1,52,26,354,1170,863
282,10,41,1648,621,1930,1009
283,1,52,17,363,1181,868
283,10,41,1658,581,1932,994
284,1,52,11,362,1188,868
284,10,41,1665,568,1932,999
285,1,52,21,346,1216,862
285,10,41,1678,568,1933,1010
286,1,52,19,346,1228,863
286,10,41,1688,607,1933,1036
287,1,41,1699,652,1934,1057
288,1,41,1708,664,1933,1054
289,1,41,1717,672,1933,1052
290,1,52,0,387,1243,875
290,10,41,1729,675,1933,1048
291,1,52,-3,380,1243,867
291,10,41,1739,676,1933,1045
292,1,52,-6,380,1239,865
292,10,41,1751,687,1934,1047
293,1,52,-7,362,1241,857
293,10,41,1762,691,1933,1045
294,1,52,-14,372,1222,862
294,10,41,1770,690,1932,1040
295,1,52,-1,367,1249,858
295,10,41,1780,693,1932,1037
296,1,52,-11,400,1225,872
296,10,41,1786,699,1930,1036
297,1,41,1792,695,1929,1031
298,1,41,1798,700,1928,1032
305,1,41,1826,753,1929,1023
306,1,41,1830,756,1927,1011
307,10,41,1835,750,1926,998
309,10,58,-8,349,444,843
310,10,58,-2,354,451,850
311,10,58,0,345,454,843
313,10,58,-9,341,428,842
318,10,58,-17,326,399,837
319,10,58,-19,319,375,839
320,10,58,-17,313,361,841
324,10,59,1865,692,1920,986
325,10,59,1866,686,1920,980
326,10,60,-9,307,273,869
347,1,65,1865,705,1920,992
348,1,65,1864,700,1920,992
349,1,65,1864,696,1920,995
350,1,65,1863,693,1920,997
351,1,65,1863,694,1920,999
352,1,65,1863,696,1920,997
353,1,65,1863,708,1920,1002
354,1,65,1863,716,1919,1008
359,1,65,1864,721,1920,1009
360,1,65,1865,713,1920,1012
361,1,65,1865,714,1920,1015
362,1,65,1865,713,1920,1015
363,1,65,1865,721,1920,1015
367,1,65,1863,701,1919,1009
368,1,65,1863,696,1919,1004
369,1,65,1863,691,1919,1000
370,1,65,1862,690,1919,999
371,1,65,1862,687,1919,996
372,1,65,1863,686,1920,995
373,1,65,1862,684,1920,995
374,1,65,1863,681,1920,997
375,1,65,1863,681,1920,1001
376,1,65,1862,675,1920,996
377,10,65,1862,674,1919,996
378,1,65,1862,686,1920,1003
379,1,65,1862,692,1920,1004
380,1,65,1862,693,1920,1003
381,1,65,1862,693,1919,1003
382,1,65,1861,691,1919,1000
383,1,65,1861,691,1919,1000
384,1,65,1860,683,1919,997
385,1,65,1860,680,1919,996
386,1,65,1860,678,1919,997
387,1,65,1859,672,1919,997
388,1,65,1859,669,1919,998
389,1,65,1859,667,1919,999
390,1,65,1859,667,1919,998
391,1,65,1859,669,1920,1004
392,1,65,1859,666,1920,1004
393,1,65,1859,663,1920,1000
394,1,65,1859,662,1920,1000
395,1,65,1859,663,1920,1001
396,1,65,1859,665,1919,1003
397,1,65,1859,666,1920,1002
398,1,78,1871,718,1919,993
398,1,65,1859,671,1920,1007
399,1,78,1871,713,1919,991
399,1,65,1859,672,1920,1006
400,1,65,1860,681,1920,1010
403,1,78,1866,703,1919,1001
404,1,79,1515,589,1705,791
404,1,78,1866,698,1920,1002
404,1,65,1875,699,1923,1010
405,1,78,1867,700,1920,1004
405,1,65,1878,711,1923,1008
406,1,78,1867,701,1920,1006
406,1,65,1880,715,1923,1003
407,1,80,1494,586,1702,789
407,1,78,1869,698,1920,1003
407,1,65,1883,717,1923,1000
408,1,80,1488,585,1702,788
408,1,78,1870,700,1921,1002
408,10,65,1885,716,1922,996
409,1,80,1479,584,1701,788
409,1,78,1873,700,1921,998
409,10,65,1887,715,1922,993
410,1,80,1484,587,1705,788
410,1,78,1873,701,1921,998
410,1,65,1889,714,1922,991
411,1,80,1494,587,1710,786
411,1,78,1874,703,1921,999
412,1,80,1499,588,1711,785
412,1,78,1875,707,1921,1001
